epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5237,0.89895,3.79767,1.01241,0.02332,0.49115,0.08724,0.07384,0.63611,3.9388,0.89374,9.338e-05,9.338e-05,9.338e-05
2,172.613,0.74959,3.25853,0.94396,0.0195,0.54634,0.12123,0.10001,0.59875,3.79038,0.86883,0.000191515,0.000191515,0.000191515
3,259.099,0.68866,2.67762,0.93317,0.42653,0.27905,0.26242,0.23135,0.64315,3.3881,0.88355,0.000287669,0.000287669,0.000287669
4,343.039,0.69429,2.1325,0.92379,0.51531,0.27043,0.38507,0.34773,0.57533,2.80845,0.89184,0.000381842,0.000381842,0.000381842
5,428.312,0.63014,1.74678,0.9077,0.53284,0.37599,0.52985,0.48469,0.57709,2.29177,0.9052,0.000474034,0.000474034,0.000474034
6,514.176,0.61806,1.46615,0.91012,0.66425,0.44989,0.62654,0.56871,0.57442,1.97644,0.89842,0.000564245,0.000564245,0.000564245
7,598.629,0.61182,1.2525,0.90439,0.78457,0.54293,0.738,0.66152,0.54789,1.74588,0.89332,0.00062738,0.00062738,0.00062738
8,685.115,0.53554,1.08168,0.88106,0.67574,0.66328,0.7696,0.68021,0.55799,1.48195,0.89767,0.000620777,0.000620777,0.000620777
9,777.679,0.54835,0.98214,0.88159,0.85499,0.82441,0.88599,0.78248,0.57738,1.12638,0.91279,0.000614174,0.000614174,0.000614174
10,865.003,0.50463,0.87913,0.87901,0.91602,0.76194,0.8975,0.80165,0.51877,1.13933,0.87273,0.00060757,0.00060757,0.00060757
11,952.93,0.52626,0.86973,0.88083,0.92836,0.84476,0.92532,0.83708,0.52223,0.89828,0.86617,0.000600967,0.000600967,0.000600967
12,1044.16,0.50786,0.82277,0.85928,0.92727,0.85842,0.9371,0.85746,0.47909,0.86686,0.85855,0.000594364,0.000594364,0.000594364
13,1131.98,0.49014,0.79346,0.86216,0.96749,0.84245,0.93986,0.87809,0.41579,0.79879,0.84643,0.00058776,0.00058776,0.00058776
14,1216.62,0.46583,0.74388,0.85585,0.9741,0.88538,0.93948,0.86033,0.4483,0.77205,0.84948,0.000581157,0.000581157,0.000581157
15,1300.1,0.43943,0.68658,0.85018,0.97445,0.88908,0.94471,0.87889,0.40883,0.79945,0.8471,0.000574554,0.000574554,0.000574554
16,1384.19,0.44471,0.69655,0.84542,0.9835,0.88598,0.94005,0.88709,0.37486,0.70622,0.83701,0.00056795,0.00056795,0.00056795
17,1470.01,0.40024,0.64294,0.84484,0.95585,0.87493,0.94459,0.88441,0.38873,0.76138,0.84187,0.000561347,0.000561347,0.000561347
